timestamp,humidity,temperature,ph,ce,water_level,flow_rate,season
2024-10-28 01:44:55,31.7,18.6,6.9,1.7,60.3,46.6,spring
2024-10-28 02:21:58,31.7,13.5,6.8,1.6,60.1,17.2,spring
2024-10-28 02:23:18,45.0,18.1,7.0,2.0,55.4,57.6,spring
2024-10-28 02:45:31,41.6,15.4,6.7,2.4,32.9,44.4,spring
2024-10-28 03:02:34,32.7,28.2,7.5,1.4,41.4,12.7,spring
2024-10-28 03:10:17,53.6,24.0,5.5,2.2,53.7,4.3,spring
2024-10-28 03:22:09,44.8,29.9,6.8,1.3,67.5,22.5,spring
2024-10-28 03:22:57,47.8,14.0,5.8,2.2,77.5,4.3,spring
2024-10-28 03:27:42,46.9,10.9,7.1,2.2,75.1,53.8,spring
2024-10-28 03:28:29,51.3,17.2,5.9,1.3,64.5,10.9,spring
2024-10-28 03:51:32,46.4,17.3,6.0,1.4,65.0,45.1,spring
